"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000228669.1",0,0,0,0,0,0,0,0
"ENSG00000273550.1",0,0,0,0,0,0,0,0
"ENSG00000227564.2",0,0,0,0,0,0,0,0
"ENSG00000231061.1",0,0,0,0,0,0,0,0
"ENSG00000274052.2",0,0,0,0,0,0,0,0
"ENSG00000285764.1",0,0,0,0,0,0,0,0
"ENSG00000237378.3",0,0,1,1,0,0,0,0
"ENSG00000202478.1",0,0,0,0,0,0,0,0
"ENSG00000213232.2",0,0,0,0,0,0,0,0
"ENSG00000219926.11",0,1,0,1,2,0,0,0
"ENSG00000285566.1",0,0,0,0,0,0,0,0
"ENSG00000227674.2",0,0,0,0,0,0,0,0
"ENSG00000237849.1",0,0,0,0,0,0,0,0
"ENSG00000214269.3",2,5,3,3,9,8,6,8
"ENSG00000214266.2",0,0,0,0,0,0,0,0
"ENSG00000236565.3",54,60,47,26,70,86,42,35
"ENSG00000234767.1",0,0,0,0,0,0,0,0
"ENSG00000263581.1",0,0,0,0,0,0,0,0
"ENSG00000263561.1",0,0,0,0,0,0,0,0
"ENSG00000235737.1",0,0,0,0,0,0,0,0
"ENSG00000184226.14",18,57,69,42,59,134,40,36
"ENSG00000234527.1",0,0,0,0,0,0,0,0
"ENSG00000238500.1",0,0,0,0,0,0,0,0
"ENSG00000228842.3",0,0,0,0,0,0,0,0
"ENSG00000225263.1",0,0,0,0,0,0,0,0
"ENSG00000233840.1",0,0,0,0,0,0,0,0
"ENSG00000285588.1",0,0,0,0,0,0,0,0
"ENSG00000214263.2",16,11,15,8,0,2,4,3
"ENSG00000230040.1",0,0,0,0,0,0,0,0
"ENSG00000271287.1",0,0,0,0,0,0,0,0
"ENSG00000227969.1",0,0,0,0,0,0,0,0
"ENSG00000231667.2",0,0,0,0,0,0,0,0
"ENSG00000226537.2",0,0,0,0,0,1,0,0
"ENSG00000234765.1",0,0,0,0,0,0,0,0
"ENSG00000229910.1",0,0,0,0,0,0,0,0
"ENSG00000236433.1",0,0,0,0,0,0,0,0
"ENSG00000230405.1",0,0,0,0,0,0,0,0
"ENSG00000229824.1",0,0,0,0,0,0,0,0
"ENSG00000243671.3",0,0,0,0,0,0,0,0
"ENSG00000281778.1",0,0,0,0,0,0,0,0
"ENSG00000280580.1",0,0,0,0,0,0,0,0
"ENSG00000232380.1",1,4,3,4,6,8,3,6
"ENSG00000225501.1",0,0,0,0,0,0,0,0
"ENSG00000235221.2",0,0,0,0,0,0,0,0
"ENSG00000224640.1",0,0,0,0,0,0,0,0
"ENSG00000150361.11",0,0,0,0,0,0,0,0
"ENSG00000207495.1",0,0,0,0,0,0,0,0
"ENSG00000232314.1",0,0,0,0,0,0,0,0
"ENSG00000230223.6",0,0,0,0,0,0,0,0
"ENSG00000202433.1",0,0,0,0,0,0,0,0
"ENSG00000276841.1",0,0,0,0,0,0,0,0
"ENSG00000226554.1",0,0,0,0,0,0,0,0
"ENSG00000226846.1",0,0,0,0,0,0,0,0
"ENSG00000225801.1",0,0,0,0,0,0,0,0
"ENSG00000276644.4",13,3,1,0,7,0,1,0
"ENSG00000236534.1",360,270,309,164,337,272,220,238
"ENSG00000237816.1",0,0,0,0,0,0,0,0
"ENSG00000233460.1",0,0,0,0,0,0,0,0
"ENSG00000232881.2",0,0,0,0,0,0,0,0
"ENSG00000212377.1",0,0,0,0,0,0,0,0
"ENSG00000227952.2",0,0,0,0,0,0,0,0
"ENSG00000251715.1",0,0,0,0,0,0,0,0
"ENSG00000278113.1",0,0,0,0,0,0,0,0
"ENSG00000199282.1",0,0,0,0,0,0,0,0
"ENSG00000226617.1",0,0,0,0,1,0,1,0
"ENSG00000206922.1",0,0,0,0,0,0,0,0
"ENSG00000204899.5",157,136,139,133,132,202,128,147
"ENSG00000136122.15",40,39,44,31,42,57,29,45
"ENSG00000083520.14",922,956,1223,829,1190,1763,798,1132
"ENSG00000083535.15",315,262,384,249,397,538,286,318
"ENSG00000199381.1",0,0,0,0,0,0,0,0
"ENSG00000232041.1",0,0,0,0,0,0,1,0
"ENSG00000102554.13",29,88,70,213,45,286,41,383
"ENSG00000236972.2",3,3,2,2,3,3,3,3
"ENSG00000200267.1",0,0,0,0,0,0,0,0
"ENSG00000201253.1",0,0,0,0,0,0,0,0
"ENSG00000206697.1",0,0,0,0,0,0,0,0
"ENSG00000279754.1",0,0,0,0,0,0,0,0
"ENSG00000229708.1",0,0,0,0,0,0,0,0
"ENSG00000224853.2",0,1,0,0,0,0,0,0
"ENSG00000228295.1",0,0,0,0,0,0,0,0
"ENSG00000118922.17",803,614,974,488,980,1256,715,749
"ENSG00000280348.1",0,0,0,0,1,0,0,0
"ENSG00000279463.1",0,0,0,0,1,0,0,0
"ENSG00000235532.1",0,0,1,0,1,1,0,0
"ENSG00000206617.1",0,0,0,0,0,0,0,0
"ENSG00000232701.1",0,0,0,0,0,0,0,0
"ENSG00000177596.1",0,0,0,0,0,0,0,0
"ENSG00000226240.2",0,1,0,0,0,0,0,0
"ENSG00000281167.1",0,0,0,0,0,0,0,0
"ENSG00000236678.7",0,0,0,0,0,0,0,0
"ENSG00000225944.1",0,0,0,0,0,0,0,0
"ENSG00000206812.1",0,0,0,0,0,0,0,0
"ENSG00000226665.1",0,0,0,0,0,0,0,0
"ENSG00000214249.3",1,0,0,1,1,1,0,0
"ENSG00000223880.1",0,0,0,0,0,0,0,0
"ENSG00000136111.13",556,618,578,617,749,1002,530,931
"ENSG00000225203.2",0,0,0,0,0,0,0,0
"ENSG00000188243.12",1120,1119,1106,741,1151,1593,792,952
"ENSG00000118939.17",70,72,99,33,112,106,55,68
"ENSG00000261553.5",12,7,22,9,22,47,15,19
"ENSG00000261105.5",81,61,9,5,66,122,86,80
"ENSG00000136153.19",1806,1741,4563,2830,2936,7503,2713,3010
"ENSG00000228444.2",7,2,6,1,6,7,4,0
"ENSG00000230902.1",0,0,0,0,0,0,0,0
"ENSG00000178734.5",27,10,36,3,17,9,14,6
"ENSG00000223458.2",10,4,24,5,16,3,10,2
"ENSG00000261206.1",1,0,2,0,2,1,0,0
"ENSG00000224933.2",0,0,1,0,0,0,0,0
"ENSG00000243274.3",0,0,0,0,0,0,0,0
"ENSG00000285572.1",3,0,2,0,4,1,3,0
"ENSG00000284809.1",0,0,0,0,0,0,0,0
"ENSG00000178695.5",4750,830,4805,414,5322,1392,4416,607
"ENSG00000278727.1",19,6,43,8,39,13,33,7
"ENSG00000118903.6",0,0,0,0,0,0,0,0
"ENSG00000102794.9",0,0,0,0,0,0,0,0
"ENSG00000233873.1",2,0,0,1,1,2,0,0
"ENSG00000228002.2",1,1,0,2,6,4,3,2
"ENSG00000102805.14",262,216,318,212,289,348,265,253
"ENSG00000283208.1",9,4,7,6,4,7,5,3
"ENSG00000005812.10",1174,1195,1202,1146,995,1575,991,1448
"ENSG00000236051.7",0,1,0,1,2,1,0,4
"ENSG00000274898.1",2,0,2,0,0,1,1,1
"ENSG00000005810.17",2656,2026,2628,1555,2983,3680,2223,2300
"ENSG00000229521.2",1,0,3,0,2,1,2,1
"ENSG00000285714.1",0,0,0,0,0,0,0,0
"ENSG00000136155.16",0,0,0,0,0,0,0,0
"ENSG00000224347.6",0,0,0,0,0,0,0,0
"ENSG00000206800.1",0,0,0,0,0,0,0,0
"ENSG00000227922.1",1,3,15,4,9,3,8,5
"ENSG00000285746.1",0,0,0,1,0,0,0,0
"ENSG00000139737.21",5,2,0,0,1,2,0,1
"ENSG00000266325.1",0,0,0,0,0,0,0,0
"ENSG00000225579.1",0,0,0,0,0,1,0,0
"ENSG00000136160.15",480,886,234,159,1183,1754,297,460
"ENSG00000234377.7",0,2,2,1,2,0,1,0
"ENSG00000233379.1",0,0,0,0,1,0,0,0
"ENSG00000243035.3",0,0,0,0,0,0,0,0
"ENSG00000236133.1",0,0,0,0,0,0,0,0
"ENSG00000229249.6",0,0,0,0,0,0,0,0
"ENSG00000235625.1",0,0,0,0,0,0,0,0
"ENSG00000271386.1",0,0,0,0,0,0,0,0
"ENSG00000200686.1",0,0,0,0,0,0,0,0
"ENSG00000229865.1",0,0,0,0,0,0,0,0
"ENSG00000224686.1",0,0,0,0,0,0,0,0
"ENSG00000271776.1",0,0,0,0,0,0,0,0
"ENSG00000152192.7",0,1,0,0,0,0,0,0
"ENSG00000152193.7",167,165,203,117,195,267,161,158
"ENSG00000237109.1",0,0,0,0,0,0,0,0
"ENSG00000225427.1",0,0,0,0,0,0,0,0
"ENSG00000215357.2",0,0,0,0,0,0,0,0
"ENSG00000230584.1",0,1,0,0,0,0,0,0
"ENSG00000236277.1",0,0,0,0,0,0,0,0
"ENSG00000226670.1",0,0,0,0,0,0,0,0
"ENSG00000139746.15",879,665,1075,502,1233,1346,825,730
"ENSG00000252496.1",0,0,1,0,0,1,0,0
"ENSG00000227354.6",25,18,31,16,56,78,41,11
"ENSG00000232132.1",0,0,0,0,0,0,0,0
"ENSG00000102471.14",549,493,689,398,660,885,461,618
"ENSG00000227676.3",1,1,0,0,0,0,0,0
"ENSG00000285902.1",0,0,0,0,0,0,0,0
"ENSG00000229011.1",0,0,0,0,0,0,0,0
"ENSG00000229175.1",0,0,0,0,0,0,0,0
"ENSG00000284196.2",0,0,0,0,0,0,0,0
"ENSG00000281721.1",0,0,0,0,0,0,0,0
"ENSG00000285684.1",0,0,0,0,0,0,0,1
"ENSG00000136158.11",207,255,209,200,204,328,208,375
"ENSG00000202398.1",0,0,0,0,0,0,0,0
"ENSG00000227862.1",0,0,0,0,0,0,0,0
"ENSG00000226683.2",0,0,0,0,0,0,0,0
"ENSG00000231222.1",0,0,0,0,0,0,0,0
"ENSG00000229246.1",0,1,0,2,0,0,1,0
"ENSG00000270415.1",0,0,0,0,0,0,0,0
"ENSG00000260094.1",0,0,0,0,0,0,0,0
"ENSG00000229309.2",0,0,0,0,0,0,0,0
"ENSG00000222486.1",0,0,0,0,0,0,0,0
"ENSG00000237148.1",0,0,0,0,0,0,0,0
"ENSG00000214182.5",216,215,223,99,404,411,175,152
"ENSG00000237099.1",0,0,0,0,0,0,0,0
"ENSG00000270400.1",0,0,0,0,0,0,0,0
"ENSG00000222791.1",0,0,0,0,0,0,0,0
"ENSG00000178235.7",0,1,8,7,2,9,2,4
"ENSG00000285680.1",0,0,0,0,0,0,0,0
"ENSG00000215037.2",0,0,0,0,0,0,0,0
"ENSG00000224188.1",0,0,0,0,0,0,0,0
"ENSG00000285742.1",0,0,0,0,0,0,0,0
"ENSG00000228597.1",0,0,0,0,0,0,0,0
"ENSG00000232447.1",0,0,0,0,0,0,0,0
"ENSG00000233349.1",0,0,0,0,0,0,0,0
"ENSG00000226370.1",0,0,0,0,0,0,0,0
"ENSG00000226317.2",0,0,0,0,0,0,0,0
"ENSG00000285834.1",0,0,0,0,0,0,0,0
"ENSG00000184564.9",61,9,41,1,184,32,53,3
"ENSG00000278580.1",0,0,0,0,0,0,0,0
"ENSG00000228241.1",0,0,0,0,0,0,0,0
"ENSG00000232252.1",0,0,0,0,0,0,0,0
"ENSG00000283371.1",0,0,0,0,0,0,0,0
"ENSG00000277914.1",0,0,0,0,0,1,1,0
"ENSG00000231879.1",0,0,0,0,0,0,0,0
"ENSG00000233528.4",0,0,0,0,0,0,0,0
"ENSG00000228074.1",0,0,0,0,0,0,0,0
"ENSG00000228473.1",0,0,0,0,0,0,0,0
"ENSG00000285699.1",0,0,0,0,0,0,0,0
"ENSG00000232636.2",0,0,0,0,0,0,0,0
"ENSG00000228824.6",0,0,0,0,0,0,0,0
"ENSG00000272515.1",0,0,0,0,0,0,0,0
"ENSG00000266052.1",0,0,0,0,0,0,0,0
"ENSG00000165300.7",4,4,3,1,0,2,2,0
"ENSG00000277640.1",0,0,0,0,0,0,0,0
"ENSG00000223404.3",0,0,0,0,0,0,0,0
"ENSG00000272046.1",0,0,0,0,0,0,0,0
"ENSG00000232204.1",0,0,0,0,0,0,0,0
"ENSG00000231019.1",0,0,0,0,0,0,0,0
"ENSG00000225289.1",0,0,0,0,0,0,0,0
"ENSG00000285811.1",0,0,0,0,0,0,0,0
"ENSG00000229443.1",0,0,0,0,0,0,0,0
"ENSG00000283130.1",0,0,0,0,0,0,0,0
"ENSG00000261666.1",0,0,0,0,0,0,0,0
"ENSG00000233211.2",0,0,0,0,0,0,0,0
"ENSG00000232225.6",0,0,0,0,0,0,0,0
"ENSG00000227247.1",0,0,0,0,0,0,0,0
"ENSG00000234660.1",0,0,0,0,0,0,0,0
"ENSG00000225530.1",0,0,0,1,0,0,0,0
"ENSG00000226037.1",0,0,0,0,0,0,0,0
"ENSG00000236176.2",0,0,0,0,0,0,0,0
"ENSG00000271395.1",0,0,0,0,0,0,0,0
"ENSG00000234227.1",0,0,0,0,0,0,0,0
"ENSG00000200733.1",0,0,0,0,0,0,0,0
"ENSG00000215418.2",0,0,0,0,0,0,0,0
"ENSG00000261446.3",0,0,0,0,0,0,0,0
"ENSG00000252696.1",0,0,0,0,0,0,0,0
"ENSG00000235879.1",0,0,0,0,0,0,0,0
"ENSG00000224419.1",0,0,0,0,0,0,0,0
"ENSG00000283783.1",0,0,0,0,0,0,0,0
"ENSG00000234384.1",0,0,0,0,0,0,0,0
"ENSG00000251753.1",0,0,0,0,0,0,0,0
"ENSG00000231674.1",0,0,0,0,0,0,0,0
"ENSG00000227983.1",0,0,0,0,0,0,0,0
"ENSG00000234625.1",0,0,0,0,0,0,0,0
"ENSG00000229557.1",0,0,0,0,0,0,0,0
"ENSG00000214178.3",0,0,0,0,0,0,0,0
"ENSG00000215417.12",4,11,9,4,8,18,4,7
"ENSG00000284536.1",0,0,0,0,0,0,0,0
"ENSG00000283815.1",0,0,0,0,0,0,0,0
"ENSG00000284204.1",0,0,0,0,0,0,0,0
"ENSG00000283762.1",0,0,0,0,0,0,0,0
"ENSG00000284375.1",0,0,0,0,0,0,0,0
"ENSG00000283705.1",0,0,0,0,0,0,0,0
"ENSG00000179399.14",0,1,0,1,1,1,0,0
"ENSG00000282864.1",0,0,0,0,0,0,0,0
"ENSG00000282997.1",0,0,0,0,0,0,0,0
"ENSG00000252508.1",0,0,0,0,0,0,0,0
"ENSG00000229287.1",0,0,0,0,0,0,0,0
"ENSG00000282865.1",0,0,0,0,0,0,0,0
"ENSG00000232885.1",0,0,0,0,0,0,0,0
"ENSG00000283097.1",0,0,0,0,0,0,0,0
"ENSG00000236240.1",0,0,0,0,0,0,0,0
"ENSG00000263741.1",0,0,0,0,0,0,0,0
"ENSG00000282993.1",0,0,0,0,0,0,0,0
"ENSG00000235984.5",0,0,0,1,0,0,0,0
"ENSG00000232849.1",0,0,0,0,0,0,0,0
"ENSG00000278177.1",1,4,9,3,2,10,5,7
"ENSG00000183098.10",2817,2021,5366,2985,3066,5033,4712,4970
"ENSG00000235784.2",0,0,0,0,0,0,0,0
"ENSG00000224394.1",0,0,0,0,0,0,1,0
"ENSG00000212559.1",0,0,0,0,0,0,0,0
"ENSG00000236520.2",0,0,0,0,0,0,0,0
"ENSG00000080166.15",5,4,5,3,9,5,10,2
"ENSG00000088451.10",103,96,144,69,114,189,109,111
"ENSG00000152749.7",291,299,271,167,362,522,229,220
"ENSG00000222129.1",0,0,0,0,0,0,0,0
"ENSG00000274168.1",0,0,0,0,0,0,0,0
"ENSG00000238230.1",0,0,0,0,0,0,0,0
"ENSG00000125285.5",0,1,0,0,0,0,0,0
"ENSG00000227640.2",0,0,0,0,0,0,0,0
"ENSG00000235768.1",1,2,0,1,4,2,1,1
"ENSG00000237924.1",0,0,0,0,0,0,1,0
"ENSG00000260962.1",0,0,0,0,0,0,0,0
"ENSG00000252335.1",2,2,1,0,0,0,0,0
"ENSG00000125257.14",1234,1267,915,931,1790,2932,720,1185
"ENSG00000223298.1",5,1,1,3,6,9,6,5
"ENSG00000200211.1",0,0,0,0,0,0,0,0
"ENSG00000271492.1",0,0,0,0,0,0,0,0
"ENSG00000134873.9",1,0,0,0,1,2,0,2
"ENSG00000223392.1",0,0,0,0,0,0,0,0
"ENSG00000134874.17",1651,1186,1991,887,2226,1827,2009,1446
"ENSG00000247400.3",31,23,20,10,13,27,25,16
"ENSG00000102580.14",1871,1917,2125,1749,1996,3635,1911,2294
"ENSG00000229622.1",0,0,0,0,0,0,0,0
"ENSG00000227714.1",0,0,0,0,0,0,0,0
"ENSG00000232373.2",0,0,0,0,0,0,0,0
"ENSG00000276809.1",1,0,1,2,0,4,2,2
"ENSG00000102595.19",848,781,994,703,1112,1289,647,844
"ENSG00000226977.1",0,0,0,0,2,0,1,2
"ENSG00000185352.8",0,2,2,5,0,7,0,15
"ENSG00000242614.3",0,0,0,0,0,0,0,0
"ENSG00000283487.1",0,0,0,0,0,0,0,0
"ENSG00000233273.1",0,0,0,0,0,0,0,0
"ENSG00000235137.2",0,0,0,0,0,0,0,0
"ENSG00000234267.3",0,0,0,0,0,0,0,0
"ENSG00000272329.1",0,0,0,0,0,0,0,0
"ENSG00000222472.1",0,0,0,0,0,0,0,0
"ENSG00000165621.8",0,0,1,0,0,0,0,0
"ENSG00000233124.1",0,0,0,0,0,0,0,0
"ENSG00000139793.18",1376,1606,1500,1365,1561,2476,1447,2137
"ENSG00000202290.1",2,0,3,2,0,1,2,0
"ENSG00000125249.6",963,762,686,392,1070,1139,590,570
"ENSG00000276573.1",1,0,1,0,0,0,0,0
"ENSG00000276704.1",0,0,1,0,1,3,0,0
"ENSG00000271625.1",0,0,0,1,0,0,0,0
"ENSG00000226134.1",0,0,0,0,0,2,0,0
"ENSG00000233291.1",0,0,0,0,0,0,0,0
"ENSG00000270725.1",0,0,0,0,0,0,0,0
"ENSG00000065150.18",4331,3368,5104,2861,4661,5337,4973,4125
"ENSG00000232217.1",0,1,0,0,0,0,0,0
"ENSG00000152767.16",1681,1611,2223,1182,2295,3839,1250,1534
"ENSG00000139797.7",0,0,0,0,0,0,0,0
"ENSG00000222969.1",0,0,0,0,0,0,0,0
"ENSG00000263399.1",0,0,0,0,0,0,0,0
"ENSG00000269189.1",0,0,0,0,0,0,0,0
"ENSG00000269599.1",0,0,0,0,0,0,0,0
"ENSG00000231194.1",1,0,0,0,0,3,1,0
"ENSG00000102572.14",775,751,861,604,1140,1217,755,1022
"ENSG00000271437.1",0,0,0,0,0,0,0,0
"ENSG00000224418.1",2,1,5,1,2,2,9,1
"ENSG00000217686.2",0,0,0,0,0,0,0,0
"ENSG00000233549.2",0,0,0,0,0,0,0,0
"ENSG00000233662.1",0,0,1,2,0,0,0,0
"ENSG00000243366.3",0,0,0,0,0,0,0,0
"ENSG00000088386.16",1,0,1,0,0,2,1,1
"ENSG00000088387.18",384,304,404,278,372,650,548,599
"ENSG00000229918.1",0,0,0,0,0,0,0,0
"ENSG00000275919.1",0,0,0,0,0,0,0,0
"ENSG00000231981.3",0,0,0,0,0,0,0,0
"ENSG00000207298.1",0,0,0,0,0,0,0,0
"ENSG00000260992.1",6,7,8,3,10,1,5,5
"ENSG00000230871.1",0,0,0,0,0,0,0,0
"ENSG00000234005.3",0,0,1,0,1,0,0,0
"ENSG00000228889.6",13,8,18,4,13,16,15,6
"ENSG00000134882.15",1123,1158,1607,924,1549,1925,1079,1202
"ENSG00000201793.1",0,0,0,0,0,0,0,0
"ENSG00000218502.3",0,0,0,1,0,2,0,1
"ENSG00000125245.12",0,0,0,0,0,0,1,0
"ENSG00000169508.6",0,0,0,0,0,0,0,1
"ENSG00000207719.1",0,0,0,0,0,1,1,0
"ENSG00000228808.1",0,1,2,2,5,3,0,0
"ENSG00000238241.2",0,0,0,0,0,0,0,0
"ENSG00000285448.1",0,0,0,0,0,0,0,0
"ENSG00000125304.9",3099,2554,3160,2233,3048,4348,2890,3031
"ENSG00000280734.2",33,15,30,20,8,21,25,21
"ENSG00000280710.3",0,0,0,0,0,0,0,0
"ENSG00000203441.2",0,0,1,1,0,1,3,0
"ENSG00000234168.2",0,0,0,0,0,0,0,0
"ENSG00000234239.1",0,0,0,0,0,0,0,0
"ENSG00000125246.15",17,19,42,37,40,60,28,46
"ENSG00000263615.1",0,0,0,0,0,0,0,0
"ENSG00000227659.1",0,0,0,0,0,0,0,0
"ENSG00000234303.2",0,0,0,0,0,0,0,0
"ENSG00000201245.1",0,0,0,0,0,0,0,0
"ENSG00000139800.8",0,0,0,0,0,0,0,0
"ENSG00000043355.11",0,0,0,0,0,0,0,0
"ENSG00000260738.1",0,0,0,0,0,0,0,0
"ENSG00000225999.1",0,0,0,0,0,0,0,0
"ENSG00000236554.1",0,0,0,0,0,1,1,1
"ENSG00000274605.1",35,31,33,12,41,40,24,11
"ENSG00000175198.16",311,284,294,177,352,352,229,256
"ENSG00000228501.2",15,7,13,2,8,13,2,3
"ENSG00000270632.1",1,0,0,0,0,0,0,0
"ENSG00000234650.5",0,1,2,1,1,2,3,0
"ENSG00000134864.10",66,63,91,64,83,97,62,75
"ENSG00000224356.5",1,2,0,2,1,2,0,0
"ENSG00000280169.1",0,0,0,0,0,0,1,0
"ENSG00000234354.3",581,526,664,358,369,332,169,163
"ENSG00000125247.15",439,284,218,109,426,343,315,244
"ENSG00000237082.1",3,0,0,0,1,1,2,0
"ENSG00000233009.1",0,0,0,0,0,0,0,0
"ENSG00000214051.3",0,0,0,0,0,0,0,0
"ENSG00000229599.1",0,0,0,0,0,0,0,0
"ENSG00000102452.16",40,56,150,146,85,179,52,134
"ENSG00000198542.13",660,1167,2430,2145,1699,4721,1550,3659
"ENSG00000102466.15",136,227,188,166,168,408,91,269
"ENSG00000276012.1",1,4,5,4,1,12,1,6
"ENSG00000201155.1",0,0,0,0,0,0,0,1
"ENSG00000215399.2",1,1,1,1,2,12,2,6
"ENSG00000265164.1",0,0,0,0,0,0,0,0
"ENSG00000229975.1",0,0,0,0,0,0,0,0
"ENSG00000201690.1",0,0,0,0,0,0,0,0
"ENSG00000264482.1",0,0,0,0,0,0,0,0
"ENSG00000236860.1",0,0,0,0,0,1,0,0
"ENSG00000243319.7",2,2,1,0,3,2,2,0
"ENSG00000279702.1",0,0,0,0,0,0,0,0
"ENSG00000234445.1",1,0,2,0,0,0,0,0
"ENSG00000272143.1",17,11,17,13,17,15,5,13
"ENSG00000261057.1",0,0,0,0,1,0,0,0
"ENSG00000276957.1",6,1,4,6,1,3,5,6
"ENSG00000134900.11",1746,1456,1817,1186,2067,3170,1385,1714
"ENSG00000139780.7",3,1,3,2,0,2,3,8
"ENSG00000175820.3",2,0,7,0,2,5,2,0
"ENSG00000231633.1",0,0,0,0,0,0,0,0
"ENSG00000151287.16",138,147,102,104,149,198,102,139
"ENSG00000134901.12",266,219,344,178,334,295,233,202
"ENSG00000134897.13",411,374,484,374,449,479,342,372
"ENSG00000270181.3",0,0,0,0,0,0,0,0
"ENSG00000134899.19",109,77,120,55,98,137,101,95
"ENSG00000250878.3",4,3,2,0,0,2,6,5
"ENSG00000272542.1",0,2,0,0,1,0,0,2
"ENSG00000278445.1",0,0,0,0,0,0,0,0
"ENSG00000125255.6",0,1,0,0,0,0,0,0
"ENSG00000285789.1",0,0,0,0,0,0,0,0
"ENSG00000234551.1",0,0,0,0,0,0,0,0
"ENSG00000230474.1",0,0,0,0,0,0,0,0
"ENSG00000225823.1",0,0,0,0,0,0,0,1
"ENSG00000232307.1",0,0,0,0,0,0,0,0
"ENSG00000275968.1",0,0,0,0,0,0,0,0
"ENSG00000275502.1",0,0,0,0,0,0,0,0
"ENSG00000182346.19",0,0,0,0,0,0,0,0
"ENSG00000280455.1",0,0,0,0,0,0,0,0
"ENSG00000226620.7",0,0,0,0,0,0,0,0
"ENSG00000252550.1",0,0,0,0,0,0,0,0
"ENSG00000222682.1",0,0,0,0,0,0,0,0
"ENSG00000233532.6",0,0,4,0,0,2,1,5
"ENSG00000174418.7",0,0,0,0,0,0,0,0
"ENSG00000125266.7",693,873,1135,628,272,971,990,1032
"ENSG00000284966.2",6,3,1,2,2,6,10,6
"ENSG00000274204.1",4,0,6,0,0,2,2,2
"ENSG00000134884.14",3449,3114,3354,2145,3443,4148,3217,3532
"ENSG00000272274.1",0,0,0,0,1,0,0,0
"ENSG00000230156.2",0,0,0,0,0,0,0,0
"ENSG00000227590.2",0,0,0,0,0,0,0,0
"ENSG00000278698.1",0,0,0,0,0,0,0,0
"ENSG00000174408.8",0,0,0,0,0,0,0,0
"ENSG00000277863.1",0,0,0,0,0,0,0,0
"ENSG00000279157.1",0,0,0,0,0,0,0,0
"ENSG00000285643.1",0,0,0,0,0,0,0,0
"ENSG00000204442.3",201,184,95,51,178,153,267,196
"ENSG00000201847.1",0,0,0,0,0,0,0,0
"ENSG00000276740.1",1,1,0,0,2,1,0,1
"ENSG00000221650.1",0,0,0,0,0,1,0,0
"ENSG00000227248.1",0,0,0,0,1,0,0,0
"ENSG00000274718.1",7,2,3,1,7,4,11,1
"ENSG00000174405.13",339,322,334,236,465,500,272,323
"ENSG00000139826.5",332,348,360,324,338,521,309,346
"ENSG00000102524.11",104,32,129,23,84,26,100,31
"ENSG00000277246.1",0,2,2,1,3,1,1,1
"ENSG00000223177.1",1,0,1,1,3,0,0,0
"ENSG00000283384.1",0,0,0,0,0,0,0,0
"ENSG00000232087.1",0,0,0,0,0,0,0,0
"ENSG00000041515.15",7,11,5,9,4,20,4,21
"ENSG00000229938.1",0,0,0,0,0,0,0,0
"ENSG00000236242.1",0,0,0,0,0,1,0,0
"ENSG00000275216.2",0,0,0,4,4,2,0,0
"ENSG00000223617.2",0,0,0,0,0,0,0,0
"ENSG00000236053.1",0,0,0,0,0,0,0,0
"ENSG00000229792.1",0,0,0,0,0,0,0,0
"ENSG00000285534.1",0,0,0,0,0,0,0,0
"ENSG00000234854.1",0,0,0,0,0,0,0,0
"ENSG00000185950.8",867,2119,891,2680,836,4419,810,4513
"ENSG00000275741.1",0,0,1,0,4,1,1,1
"ENSG00000275248.1",1,0,0,1,0,0,1,0
"ENSG00000201161.1",0,0,0,0,0,0,0,0
"ENSG00000274331.1",0,0,0,0,0,0,0,0
"ENSG00000275830.1",0,0,0,0,0,0,0,1
"ENSG00000276269.1",0,0,0,0,0,0,0,0
"ENSG00000231428.2",0,0,0,0,0,0,0,0
"ENSG00000265885.2",0,0,0,0,0,0,0,0
"ENSG00000279965.1",0,0,0,0,0,0,0,0
"ENSG00000187498.15",1072,2810,1354,1517,2022,6719,1164,2766
"ENSG00000279237.1",0,0,0,0,0,0,0,0
"ENSG00000134871.18",3065,5414,3433,2941,4558,10414,2356,4817
"ENSG00000276765.1",0,0,0,0,0,0,0,0
"ENSG00000224821.5",0,0,0,0,0,1,0,0
"ENSG00000232814.2",0,1,0,0,1,2,0,1
"ENSG00000139832.4",100,119,82,53,94,194,52,76
"ENSG00000275880.1",5,9,18,12,12,12,12,9
"ENSG00000213995.11",873,791,1050,591,898,1120,755,894
"ENSG00000134905.16",819,1048,808,551,1036,1320,692,948
"ENSG00000153487.12",200,193,234,137,230,249,174,211
"ENSG00000225239.1",0,0,0,0,0,0,0,0
"ENSG00000259831.1",0,1,2,0,0,0,0,0
"ENSG00000255874.2",154,74,170,42,95,57,111,70
"ENSG00000088448.14",1647,1426,1497,1045,1531,1358,1555,1500
"ENSG00000229152.2",165,114,123,99,132,144,180,146
"ENSG00000277767.1",11,6,14,5,9,11,7,11
"ENSG00000227105.1",0,0,0,0,0,1,0,0
"ENSG00000275989.1",0,0,0,0,0,0,0,0
"ENSG00000225760.2",19,22,12,11,22,18,16,18
"ENSG00000225870.1",0,0,0,0,0,0,0,0
"ENSG00000235875.3",0,0,1,0,0,1,0,0
"ENSG00000102606.18",1214,1196,1665,1239,1520,1912,1240,1660
"ENSG00000233644.1",0,0,0,0,0,0,0,0
"ENSG00000227352.1",0,0,0,1,0,0,0,0
